RID,Signaltype
router-84875df7fc-8n4sw-1-7330498-0,7.0
router-84875df7fc-8n4sw-7-58693471-0,12.0
router-84875df7fc-b5nxc-4-67443924-0,16.0
router-84875df7fc-8n4sw-6-28473293-0,19.0
router-84875df7fc-b5nxc-4-57177939-0,5.0
router-84875df7fc-b5nxc-0-6033758-0,29.0
router-84875df7fc-b5nxc-5-8581070-0,21.0
router-84875df7fc-b5nxc-4-69866564-0,19.0
router-84875df7fc-8n4sw-1-8315677-0,19.0
router-84875df7fc-b5nxc-4-55973550-0,8.0
router-84875df7fc-52vz8-6-61639234-0,32.0
router-84875df7fc-scxcj-3-30148453-0,38.0
router-84875df7fc-scxcj-3-28558201-0,26.0
router-84875df7fc-52vz8-4-23622978-0,34.0
router-84875df7fc-b5nxc-4-66253325-0,18.0
router-84875df7fc-cmkz9-4-24567965-0,17.0
router-84875df7fc-b5nxc-4-72823112-0,53.0
router-84875df7fc-cmkz9-7-64556519-0,33.0
router-84875df7fc-52vz8-3-13747117-0,9.0
router-84875df7fc-cmkz9-7-50894510-0,8.0
router-84875df7fc-52vz8-5-7334230-0,28.0
router-84875df7fc-scxcj-3-30822410-0,55.0
router-84875df7fc-cmkz9-7-53352495-0,11.0
router-84875df7fc-b5nxc-4-72644682-0,29.0
router-84875df7fc-cmkz9-7-53053083-0,13.0
router-84875df7fc-scxcj-2-8029541-0,0.0
router-84875df7fc-b5nxc-5-10917550-0,0.0
router-84875df7fc-scxcj-0-9253721-0,29.0
router-84875df7fc-b5nxc-0-6697312-0,13.0
router-84875df7fc-52vz8-4-24254843-0,17.0
router-84875df7fc-scxcj-1-5642755-0,51.0
router-84875df7fc-52vz8-6-67031826-0,11.0
router-84875df7fc-8n4sw-7-70587760-0,3.0
router-84875df7fc-scxcj-5-10801986-0,22.0
router-84875df7fc-scxcj-6-13130499-0,11.0
router-84875df7fc-52vz8-6-45747726-1,19.0
router-84875df7fc-52vz8-6-63116582-0,8.0
router-84875df7fc-cmkz9-2-9546890-0,17.0
router-84875df7fc-cmkz9-7-48423960-0,0.0
router-84875df7fc-8n4sw-5-9528178-0,21.0
router-84875df7fc-b5nxc-3-8242955-1,19.0
router-84875df7fc-52vz8-3-16344028-0,43.0
router-84875df7fc-b5nxc-5-10575366-0,25.0
router-84875df7fc-8n4sw-7-72480276-0,30.0
router-84875df7fc-scxcj-6-15455006-0,16.0
router-84875df7fc-scxcj-1-6813820-0,15.0
router-84875df7fc-b5nxc-7-30295294-0,22.0
router-84875df7fc-8n4sw-4-13133547-0,18.0
router-84875df7fc-scxcj-2-7972730-0,23.0
router-84875df7fc-b5nxc-4-50217263-0,0.0
router-84875df7fc-b5nxc-4-56591072-0,0.0
router-84875df7fc-52vz8-1-9204259-0,10.0
router-84875df7fc-scxcj-3-27996472-0,39.0
router-84875df7fc-8n4sw-7-77383338-0,52.0
router-84875df7fc-8n4sw-3-9095839-0,24.0
router-84875df7fc-cmkz9-1-9521485-0,4.0
router-84875df7fc-scxcj-7-52433278-0,22.0
router-84875df7fc-8n4sw-4-10587730-0,19.0
router-84875df7fc-scxcj-7-58676661-0,47.0
router-84875df7fc-52vz8-5-7800920-0,0.0
router-84875df7fc-52vz8-2-7183661-0,24.0
router-84875df7fc-52vz8-3-13583208-0,0.0
router-84875df7fc-8n4sw-3-8690669-0,7.0
router-84875df7fc-52vz8-6-63702154-0,19.0
router-84875df7fc-8n4sw-0-5189265-0,9.0
router-84875df7fc-8n4sw-4-11161240-0,9.0
router-84875df7fc-52vz8-0-6398164-0,7.0
router-84875df7fc-scxcj-7-52761092-0,11.0
router-84875df7fc-b5nxc-4-55936037-0,4.0
router-84875df7fc-scxcj-7-69332465-0,39.0
router-84875df7fc-8n4sw-6-23456219-0,41.0
router-84875df7fc-52vz8-4-28130975-0,39.0
router-84875df7fc-cmkz9-3-9254615-0,17.0
router-84875df7fc-scxcj-7-57428022-0,23.0
router-84875df7fc-52vz8-6-51813643-0,5.0
router-84875df7fc-8n4sw-6-23232353-0,23.0
router-84875df7fc-b5nxc-0-6087345-0,8.0
router-84875df7fc-cmkz9-2-10305407-0,2.0
router-84875df7fc-scxcj-1-6993546-0,33.0
router-84875df7fc-cmkz9-6-11464322-0,22.0
router-84875df7fc-8n4sw-7-55471948-0,33.0
router-84875df7fc-scxcj-7-65499285-0,2.0
router-84875df7fc-8n4sw-7-72536369-0,20.0
router-84875df7fc-cmkz9-7-63557771-0,43.0
router-84875df7fc-b5nxc-0-6389384-0,53.0
router-84875df7fc-cmkz9-4-25245831-0,6.0
router-84875df7fc-b5nxc-4-53948249-0,0.0
router-84875df7fc-52vz8-4-31530961-0,12.0
router-84875df7fc-cmkz9-7-52617950-0,4.0
router-84875df7fc-b5nxc-4-66069245-0,31.0
router-84875df7fc-b5nxc-2-7284887-0,3.0
router-84875df7fc-cmkz9-7-68489916-0,31.0
router-84875df7fc-8n4sw-7-75649450-0,42.0
router-84875df7fc-52vz8-6-46935639-0,15.0
router-84875df7fc-b5nxc-4-70894195-0,25.0
router-84875df7fc-scxcj-6-12785000-0,25.0
router-84875df7fc-b5nxc-3-10206082-0,0.0
router-84875df7fc-scxcj-7-65019625-0,22.0
router-84875df7fc-b5nxc-3-8246685-0,13.0
router-84875df7fc-scxcj-2-9402217-0,8.0
router-84875df7fc-scxcj-5-12203451-0,15.0
router-84875df7fc-52vz8-6-54144378-0,11.0
router-84875df7fc-52vz8-6-50149198-0,42.0
router-84875df7fc-cmkz9-3-8704194-0,38.0
router-84875df7fc-8n4sw-3-8937545-0,5.0
router-84875df7fc-scxcj-3-28394651-0,11.0
router-84875df7fc-b5nxc-2-8793636-0,63.0
router-84875df7fc-8n4sw-4-11168033-0,26.0
router-84875df7fc-52vz8-7-8891798-0,19.0
router-84875df7fc-cmkz9-4-29196988-0,25.0
router-84875df7fc-scxcj-7-68000489-0,21.0
router-84875df7fc-cmkz9-7-50357720-0,23.0
router-84875df7fc-cmkz9-1-7560815-0,13.0
router-84875df7fc-cmkz9-4-30546312-0,33.0
router-84875df7fc-b5nxc-1-8629809-0,22.0
router-84875df7fc-52vz8-6-67207335-0,33.0
router-84875df7fc-cmkz9-4-31665914-0,16.0
router-84875df7fc-scxcj-3-24723413-0,37.0
router-84875df7fc-b5nxc-4-69305431-0,6.0
router-84875df7fc-8n4sw-7-61182072-0,20.0
router-84875df7fc-b5nxc-7-20954342-0,25.0
router-84875df7fc-b5nxc-7-21795331-0,38.0
router-84875df7fc-8n4sw-0-6389595-0,0.0
router-84875df7fc-scxcj-7-69544350-0,24.0
router-84875df7fc-52vz8-1-9801100-0,36.0
router-84875df7fc-b5nxc-1-9071875-0,63.0
router-84875df7fc-b5nxc-6-16717331-0,13.0
router-84875df7fc-8n4sw-7-71319432-0,19.0
router-84875df7fc-52vz8-6-64948851-0,0.0
router-84875df7fc-52vz8-6-62723429-0,36.0
router-84875df7fc-cmkz9-7-66569278-0,39.0
router-84875df7fc-b5nxc-6-11008165-0,10.0
router-84875df7fc-52vz8-3-12245073-0,22.0
router-84875df7fc-8n4sw-2-9358042-0,3.0
router-84875df7fc-52vz8-6-47818468-0,1.0
router-84875df7fc-cmkz9-3-7714083-0,40.0
router-84875df7fc-b5nxc-3-9614031-0,38.0
router-84875df7fc-scxcj-7-53118172-0,28.0
router-84875df7fc-8n4sw-7-57919923-0,19.0
router-84875df7fc-cmkz9-6-16217014-0,5.0
router-84875df7fc-8n4sw-6-29463546-0,14.0
router-84875df7fc-b5nxc-4-67556144-0,26.0
router-84875df7fc-8n4sw-6-28214131-0,2.0
router-84875df7fc-52vz8-3-14428823-0,18.0
router-84875df7fc-52vz8-1-9048758-0,3.0
router-84875df7fc-scxcj-4-10052085-0,4.0
router-84875df7fc-52vz8-4-25294423-0,16.0
router-84875df7fc-b5nxc-5-11316574-0,31.0
router-84875df7fc-8n4sw-6-22046163-0,4.0
router-84875df7fc-scxcj-4-9945176-0,37.0
router-84875df7fc-52vz8-4-20765246-0,40.0
router-84875df7fc-8n4sw-7-58683412-0,37.0
router-84875df7fc-cmkz9-7-63568063-0,29.0
router-84875df7fc-cmkz9-6-16489892-0,27.0
router-84875df7fc-b5nxc-1-7270180-0,33.0
router-84875df7fc-cmkz9-2-8319622-0,24.0
router-84875df7fc-52vz8-2-10040621-0,27.0
router-84875df7fc-scxcj-5-8923645-0,16.0
router-84875df7fc-8n4sw-7-74420316-0,0.0
router-84875df7fc-scxcj-7-54736854-0,11.0
router-84875df7fc-scxcj-3-22126967-0,12.0
router-84875df7fc-b5nxc-4-58157104-0,24.0
router-84875df7fc-scxcj-7-50879879-0,29.0
router-84875df7fc-52vz8-2-7760633-0,21.0
router-84875df7fc-scxcj-3-21791553-0,2.0
router-84875df7fc-8n4sw-0-6090001-0,22.0
router-84875df7fc-b5nxc-0-6284695-0,27.0
router-84875df7fc-b5nxc-7-31374197-0,10.0
router-84875df7fc-cmkz9-4-29846666-0,27.0
router-84875df7fc-scxcj-0-8890347-0,36.0
router-84875df7fc-b5nxc-4-65992865-0,7.0
router-84875df7fc-cmkz9-6-16096224-0,36.0
router-84875df7fc-cmkz9-7-70825691-0,47.0
router-84875df7fc-cmkz9-7-52937598-0,45.0
router-84875df7fc-52vz8-4-30577163-0,14.0
router-84875df7fc-scxcj-7-51980484-0,0.0
router-84875df7fc-cmkz9-2-8385001-0,57.0
router-84875df7fc-b5nxc-4-72978714-0,21.0
router-84875df7fc-52vz8-5-8613656-0,21.0
router-84875df7fc-b5nxc-6-15803851-0,36.0
router-84875df7fc-52vz8-6-65195851-0,19.0
router-84875df7fc-8n4sw-7-69954763-0,7.0
router-84875df7fc-scxcj-1-5100950-0,19.0
router-84875df7fc-scxcj-1-7485335-0,8.0
router-84875df7fc-b5nxc-5-8586807-0,7.0
router-84875df7fc-b5nxc-6-12296314-0,29.0
router-84875df7fc-scxcj-3-27321440-0,22.0
router-84875df7fc-52vz8-1-8826166-0,13.0
router-84875df7fc-b5nxc-4-57210623-0,21.0
router-84875df7fc-8n4sw-6-28155641-0,4.0
router-84875df7fc-b5nxc-4-68039014-0,25.0
router-84875df7fc-8n4sw-4-11320526-0,28.0
router-84875df7fc-8n4sw-6-21090295-0,47.0
router-84875df7fc-scxcj-4-6723232-0,17.0
router-84875df7fc-b5nxc-4-71529996-0,26.0
router-84875df7fc-scxcj-3-29133847-0,24.0
router-84875df7fc-cmkz9-6-16992267-0,15.0
router-84875df7fc-8n4sw-7-70097885-0,24.0
router-84875df7fc-8n4sw-7-52581674-0,16.0
router-84875df7fc-scxcj-4-7905162-0,29.0
router-84875df7fc-b5nxc-5-8475777-0,1.0
router-84875df7fc-b5nxc-1-7209039-0,14.0
router-84875df7fc-8n4sw-6-23059966-0,22.0
router-84875df7fc-scxcj-7-71189620-0,3.0
router-84875df7fc-8n4sw-7-59709744-0,42.0
router-84875df7fc-52vz8-6-54653107-0,13.0
router-84875df7fc-52vz8-6-62257425-0,17.0
router-84875df7fc-b5nxc-2-7463075-0,45.0
router-84875df7fc-b5nxc-4-52605064-0,7.0
router-84875df7fc-b5nxc-5-9543807-0,23.0
router-84875df7fc-52vz8-6-64364442-0,15.0
router-84875df7fc-cmkz9-4-29980916-0,15.0
router-84875df7fc-b5nxc-2-9346096-0,8.0
router-84875df7fc-52vz8-3-16942190-0,51.0
router-84875df7fc-cmkz9-4-31848286-0,29.0
router-84875df7fc-scxcj-6-16332009-0,42.0
router-84875df7fc-cmkz9-4-26161118-0,5.0
router-84875df7fc-b5nxc-4-67957008-0,0.0
router-84875df7fc-scxcj-7-67237879-0,30.0
router-84875df7fc-cmkz9-7-53800317-0,24.0
router-84875df7fc-52vz8-4-23109366-0,3.0
router-84875df7fc-b5nxc-3-8245259-0,26.0
router-84875df7fc-scxcj-7-71517810-0,8.0
router-84875df7fc-52vz8-3-14322170-0,18.0
router-84875df7fc-b5nxc-4-68407045-0,4.0
router-84875df7fc-8n4sw-7-70716330-0,16.0
router-84875df7fc-8n4sw-7-77094166-0,26.0
router-84875df7fc-cmkz9-4-29677442-0,12.0
router-84875df7fc-8n4sw-7-75458153-0,12.0
router-84875df7fc-cmkz9-7-65151532-0,33.0
router-84875df7fc-8n4sw-7-60629689-0,23.0
router-84875df7fc-b5nxc-4-49012107-0,22.0
router-84875df7fc-52vz8-4-31640611-0,0.0
router-84875df7fc-52vz8-6-61108019-0,18.0
router-84875df7fc-b5nxc-3-10054738-0,0.0
router-84875df7fc-cmkz9-1-7510148-0,0.0
router-84875df7fc-cmkz9-7-55825313-0,14.0
router-84875df7fc-scxcj-7-57557480-0,24.0
router-84875df7fc-cmkz9-3-7661902-0,23.0
router-84875df7fc-scxcj-0-8550379-0,15.0
router-84875df7fc-b5nxc-7-29634023-0,1.0
router-84875df7fc-cmkz9-7-52594401-0,6.0
router-84875df7fc-scxcj-7-70817850-0,39.0
router-84875df7fc-scxcj-7-65736122-0,12.0
router-84875df7fc-52vz8-4-29682808-0,20.0
router-84875df7fc-cmkz9-7-61944292-0,20.0
router-84875df7fc-8n4sw-6-25165444-0,7.0
router-84875df7fc-cmkz9-1-7408993-0,16.0
router-84875df7fc-cmkz9-5-11157016-0,7.0
router-84875df7fc-b5nxc-4-58020043-0,27.0
router-84875df7fc-52vz8-5-8090862-0,43.0
router-84875df7fc-b5nxc-4-66960097-0,17.0
router-84875df7fc-52vz8-3-13797053-0,0.0
router-84875df7fc-52vz8-3-13671397-0,32.0
router-84875df7fc-52vz8-6-53886768-0,15.0
router-84875df7fc-cmkz9-7-46922844-0,23.0
router-84875df7fc-b5nxc-4-52385146-0,19.0
router-84875df7fc-scxcj-7-53098567-0,3.0
router-84875df7fc-cmkz9-4-30038027-0,28.0
router-84875df7fc-8n4sw-6-23421787-0,36.0
router-84875df7fc-b5nxc-4-73675059-0,9.0
router-84875df7fc-8n4sw-6-20816754-0,22.0
router-84875df7fc-52vz8-4-30710590-0,34.0
router-84875df7fc-52vz8-6-45941048-1,22.0
router-84875df7fc-b5nxc-2-6732773-0,8.0
router-84875df7fc-52vz8-2-6855814-0,33.0
router-84875df7fc-cmkz9-4-25570790-0,5.0
router-84875df7fc-scxcj-0-8972361-0,3.0
router-84875df7fc-b5nxc-4-56237557-0,37.0
router-84875df7fc-scxcj-7-57513459-0,39.0
router-84875df7fc-scxcj-3-23976661-0,30.0
router-84875df7fc-8n4sw-5-9423511-0,27.0
router-84875df7fc-cmkz9-3-7662170-0,25.0
router-84875df7fc-scxcj-7-67935790-0,0.0
router-84875df7fc-cmkz9-7-52336211-0,33.0
router-84875df7fc-b5nxc-4-74085465-0,27.0
router-84875df7fc-52vz8-6-48727023-0,4.0
router-84875df7fc-b5nxc-7-23393285-0,12.0
router-84875df7fc-52vz8-3-16172622-0,0.0
router-84875df7fc-scxcj-7-73080967-0,23.0
router-84875df7fc-8n4sw-0-6151161-0,7.0
router-84875df7fc-scxcj-7-71867414-0,7.0
router-84875df7fc-52vz8-4-30224067-0,2.0
router-84875df7fc-cmkz9-7-64104505-0,33.0
router-84875df7fc-8n4sw-7-61079593-0,0.0
router-84875df7fc-scxcj-3-29994739-0,1.0
router-84875df7fc-52vz8-3-16399991-0,1.0
router-84875df7fc-8n4sw-6-24577846-0,6.0
router-84875df7fc-8n4sw-0-6214297-0,12.0
router-84875df7fc-scxcj-2-9372766-0,40.0
router-84875df7fc-cmkz9-4-29353487-0,36.0
router-84875df7fc-b5nxc-2-7676207-0,3.0
router-84875df7fc-52vz8-4-22058612-0,25.0
router-84875df7fc-52vz8-4-30634304-0,32.0
router-84875df7fc-cmkz9-4-29759795-0,3.0
router-84875df7fc-52vz8-2-10145371-0,30.0
router-84875df7fc-cmkz9-7-66561544-0,55.0
router-84875df7fc-52vz8-4-21586895-0,10.0
router-84875df7fc-scxcj-2-9800016-0,13.0
router-84875df7fc-b5nxc-3-8420263-0,27.0
router-84875df7fc-scxcj-7-70968727-0,17.0
router-84875df7fc-cmkz9-6-15537208-0,12.0
router-84875df7fc-52vz8-6-49840251-0,0.0
router-84875df7fc-52vz8-4-28570241-0,40.0
router-84875df7fc-scxcj-6-15075098-0,4.0
router-84875df7fc-cmkz9-4-22563127-0,53.0
router-84875df7fc-8n4sw-1-6387899-0,22.0
router-84875df7fc-b5nxc-6-11468289-0,6.0
router-84875df7fc-8n4sw-7-58818953-0,38.0
router-84875df7fc-b5nxc-4-57558159-0,11.0
router-84875df7fc-scxcj-3-30100449-0,5.0
router-84875df7fc-cmkz9-2-10253884-0,29.0
router-84875df7fc-cmkz9-3-6752671-0,21.0
router-84875df7fc-b5nxc-4-69113705-0,17.0
router-84875df7fc-b5nxc-7-30573115-0,21.0
router-84875df7fc-cmkz9-7-70051122-0,31.0
router-84875df7fc-52vz8-6-68525192-0,43.0
router-84875df7fc-cmkz9-4-31932812-0,20.0
router-84875df7fc-8n4sw-7-55115555-0,7.0
router-84875df7fc-scxcj-7-48151150-0,21.0
router-84875df7fc-cmkz9-7-70685808-0,50.0
router-84875df7fc-8n4sw-7-52845607-0,40.0
router-84875df7fc-b5nxc-6-16428381-0,19.0
router-84875df7fc-b5nxc-7-27544726-0,8.0
router-84875df7fc-scxcj-6-13601800-0,21.0
router-84875df7fc-8n4sw-0-5306166-0,28.0
router-84875df7fc-b5nxc-7-30384112-0,24.0
router-84875df7fc-8n4sw-5-10168482-0,11.0
router-84875df7fc-b5nxc-7-23627816-0,0.0
router-84875df7fc-scxcj-7-53153137-0,26.0
router-84875df7fc-scxcj-7-54291635-0,0.0
router-84875df7fc-cmkz9-5-8931632-0,7.0
router-84875df7fc-scxcj-7-73132348-0,6.0
router-84875df7fc-scxcj-3-28056679-0,21.0
router-84875df7fc-b5nxc-4-74154548-0,27.0
router-84875df7fc-8n4sw-6-29752778-0,19.0
router-84875df7fc-8n4sw-1-8877061-0,18.0
router-84875df7fc-52vz8-5-9521657-0,7.0
router-84875df7fc-8n4sw-2-8731314-0,12.0
router-84875df7fc-8n4sw-6-23910614-0,22.0
router-84875df7fc-cmkz9-7-61810907-0,5.0
router-84875df7fc-8n4sw-7-60986341-0,5.0
router-84875df7fc-8n4sw-7-52906746-0,18.0
router-84875df7fc-8n4sw-7-52494784-1,25.0
router-84875df7fc-cmkz9-7-64014303-0,30.0
router-84875df7fc-b5nxc-5-8118218-0,0.0
router-84875df7fc-cmkz9-4-32365337-0,17.0
router-84875df7fc-cmkz9-6-15735260-0,25.0
router-84875df7fc-8n4sw-7-70818343-0,8.0
router-84875df7fc-52vz8-6-64897035-0,2.0
router-84875df7fc-cmkz9-7-55402519-0,8.0
router-84875df7fc-b5nxc-4-56260954-0,11.0
router-84875df7fc-8n4sw-7-72517034-0,12.0
router-84875df7fc-b5nxc-4-68903442-0,39.0
router-84875df7fc-scxcj-7-49853972-0,21.0
router-84875df7fc-cmkz9-3-6536003-0,33.0
router-84875df7fc-52vz8-4-22634291-0,24.0
router-84875df7fc-b5nxc-4-54993978-0,3.0
router-84875df7fc-scxcj-7-74416674-0,37.0
router-84875df7fc-8n4sw-6-24565872-0,17.0
router-84875df7fc-cmkz9-0-5580275-0,13.0
router-84875df7fc-8n4sw-6-27808056-0,6.0
router-84875df7fc-scxcj-5-11270432-0,23.0
router-84875df7fc-52vz8-1-7008108-0,3.0
router-84875df7fc-scxcj-3-23718891-0,9.0
router-84875df7fc-cmkz9-0-8293033-0,25.0
router-84875df7fc-52vz8-6-67103049-0,13.0
router-84875df7fc-cmkz9-6-11833616-0,14.0
router-84875df7fc-scxcj-6-16827939-0,16.0
router-84875df7fc-scxcj-7-58340728-0,16.0
router-84875df7fc-b5nxc-6-14735518-0,31.0
router-84875df7fc-scxcj-7-55906856-0,6.0
router-84875df7fc-cmkz9-7-68013255-0,9.0
router-84875df7fc-8n4sw-7-58789370-0,19.0
router-84875df7fc-8n4sw-7-74631776-0,35.0
router-84875df7fc-b5nxc-4-73813084-0,0.0
router-84875df7fc-scxcj-7-73687594-0,17.0
router-84875df7fc-scxcj-4-7624071-0,23.0
router-84875df7fc-52vz8-1-6837318-0,0.0
router-84875df7fc-52vz8-3-11985477-0,27.0
router-84875df7fc-8n4sw-7-72090202-0,7.0
router-84875df7fc-8n4sw-4-14097122-0,21.0
router-84875df7fc-scxcj-6-11679836-0,47.0
router-84875df7fc-8n4sw-7-74550833-0,16.0
router-84875df7fc-52vz8-4-30539499-0,18.0
router-84875df7fc-scxcj-2-9996904-0,10.0
router-84875df7fc-52vz8-7-12295593-0,17.0
router-84875df7fc-cmkz9-7-70656631-0,28.0
router-84875df7fc-scxcj-7-58311396-0,17.0
router-84875df7fc-cmkz9-1-9674185-0,48.0
router-84875df7fc-52vz8-6-63693354-0,8.0
router-84875df7fc-8n4sw-7-55574166-0,14.0
router-84875df7fc-b5nxc-4-71995696-0,16.0
router-84875df7fc-scxcj-6-16157763-0,10.0
router-84875df7fc-b5nxc-4-71480706-0,16.0
router-84875df7fc-52vz8-6-60940726-0,36.0
router-84875df7fc-52vz8-6-63101969-0,36.0
router-84875df7fc-52vz8-6-54315988-0,8.0
router-84875df7fc-scxcj-7-66030864-0,25.0
router-84875df7fc-52vz8-4-22131713-0,0.0
router-84875df7fc-8n4sw-5-9343498-0,62.0
router-84875df7fc-8n4sw-7-58323801-0,14.0
router-84875df7fc-cmkz9-4-30448336-0,11.0
router-84875df7fc-scxcj-3-23102019-0,8.0
router-84875df7fc-cmkz9-1-8063972-0,15.0
router-84875df7fc-cmkz9-7-55164917-0,24.0
router-84875df7fc-52vz8-6-61336297-0,8.0
router-84875df7fc-8n4sw-1-8659635-0,2.0
router-84875df7fc-b5nxc-7-31365317-0,51.0
router-84875df7fc-cmkz9-4-22209270-0,38.0
router-84875df7fc-cmkz9-1-8863728-0,10.0
router-84875df7fc-cmkz9-0-5538708-0,10.0
router-84875df7fc-scxcj-1-6883593-0,10.0
router-84875df7fc-scxcj-4-9572511-0,8.0
router-84875df7fc-52vz8-4-23262306-0,15.0
router-84875df7fc-cmkz9-4-23002573-0,8.0
router-84875df7fc-b5nxc-3-9644808-0,36.0
router-84875df7fc-scxcj-7-52584493-0,25.0
router-84875df7fc-8n4sw-7-70140274-0,1.0
router-84875df7fc-b5nxc-4-57681084-0,12.0
router-84875df7fc-52vz8-4-20608761-0,4.0
router-84875df7fc-cmkz9-7-63490254-0,5.0
router-84875df7fc-cmkz9-4-32834018-0,12.0
router-84875df7fc-cmkz9-6-12977985-0,10.0
router-84875df7fc-cmkz9-7-54941687-0,2.0
router-84875df7fc-scxcj-3-23625533-0,44.0
router-84875df7fc-scxcj-7-66286924-0,12.0
router-84875df7fc-cmkz9-6-16270331-0,4.0
router-84875df7fc-cmkz9-7-53420868-0,11.0
router-84875df7fc-cmkz9-4-30722321-0,11.0
router-84875df7fc-8n4sw-7-74633190-0,9.0
router-84875df7fc-b5nxc-7-24454332-0,28.0
router-84875df7fc-52vz8-6-61261761-0,15.0
router-84875df7fc-cmkz9-7-66417790-0,2.0
router-84875df7fc-b5nxc-4-57667412-0,7.0
router-84875df7fc-scxcj-7-59499539-0,16.0
router-84875df7fc-52vz8-4-21226620-0,16.0
router-84875df7fc-scxcj-3-23239570-0,12.0
router-84875df7fc-cmkz9-7-55642629-0,32.0
router-84875df7fc-scxcj-7-50993650-0,33.0
router-84875df7fc-8n4sw-5-9098769-0,14.0
router-84875df7fc-scxcj-7-52630766-0,24.0
router-84875df7fc-cmkz9-7-50238363-0,5.0
router-84875df7fc-b5nxc-3-10341352-0,5.0
router-84875df7fc-scxcj-7-51215209-0,12.0
router-84875df7fc-scxcj-7-74284885-0,4.0
router-84875df7fc-52vz8-6-54261918-0,10.0
router-84875df7fc-52vz8-6-62943368-0,19.0
router-84875df7fc-b5nxc-7-24129294-0,1.0
router-84875df7fc-cmkz9-2-9596427-0,12.0
router-84875df7fc-52vz8-4-30852505-0,29.0
router-84875df7fc-b5nxc-4-66503158-0,10.0
router-84875df7fc-cmkz9-7-69236447-0,22.0
router-84875df7fc-cmkz9-7-49506481-0,5.0
router-84875df7fc-52vz8-0-6165031-0,1.0
router-84875df7fc-52vz8-4-28098189-0,0.0
